"tick","Remaining Humans","Remaining Zombies"
1.0,50,5
2.0,50,5
3.0,50,5
4.0,50,5
5.0,50,5
6.0,49,6
7.0,49,6
8.0,49,6
9.0,49,6
10.0,49,6
11.0,49,6
12.0,48,7
13.0,48,7
14.0,47,8
15.0,47,8
16.0,47,8
17.0,47,8
18.0,45,10
19.0,45,10
20.0,45,10
21.0,45,10
22.0,45,10
23.0,45,10
24.0,45,10
25.0,45,10
26.0,45,10
27.0,44,11
28.0,44,11
29.0,44,11
30.0,44,11
31.0,44,11
32.0,44,11
33.0,44,11
34.0,44,11
35.0,44,11
36.0,43,12
37.0,43,12
38.0,43,12
39.0,43,12
40.0,42,13
41.0,42,13
42.0,42,13
43.0,42,13
44.0,42,13
45.0,42,13
46.0,42,13
47.0,42,13
48.0,42,13
49.0,42,13
50.0,41,14
51.0,40,15
52.0,40,15
53.0,39,16
54.0,39,16
55.0,39,16
56.0,39,16
57.0,39,16
58.0,39,16
59.0,38,17
60.0,38,17
61.0,38,17
62.0,36,19
63.0,35,20
64.0,35,20
65.0,35,20
66.0,35,20
67.0,35,20
68.0,35,20
69.0,35,20
70.0,35,20
71.0,35,20
72.0,34,21
73.0,34,21
74.0,34,21
75.0,34,21
76.0,33,22
77.0,32,23
78.0,32,23
79.0,32,23
80.0,30,25
81.0,29,26
82.0,28,27
83.0,27,28
84.0,27,28
85.0,27,28
86.0,26,29
87.0,25,30
88.0,25,30
89.0,25,30
90.0,25,30
91.0,24,31
92.0,24,31
93.0,24,31
94.0,23,32
95.0,22,33
96.0,21,34
97.0,20,35
98.0,20,35
99.0,19,36
100.0,19,36
101.0,19,36
102.0,19,36
103.0,19,36
104.0,19,36
105.0,19,36
106.0,18,37
107.0,17,38
108.0,17,38
109.0,17,38
110.0,17,38
111.0,16,39
112.0,16,39
113.0,16,39
114.0,15,40
115.0,15,40
116.0,15,40
117.0,14,41
118.0,13,42
119.0,12,43
120.0,12,43
121.0,11,44
122.0,10,45
123.0,10,45
124.0,9,46
125.0,9,46
126.0,9,46
127.0,9,46
128.0,8,47
129.0,8,47
130.0,8,47
131.0,8,47
132.0,8,47
133.0,7,48
134.0,7,48
135.0,7,48
136.0,7,48
137.0,7,48
138.0,6,49
139.0,6,49
140.0,6,49
141.0,5,50
142.0,4,51
143.0,4,51
144.0,3,52
145.0,3,52
146.0,3,52
147.0,3,52
148.0,3,52
149.0,3,52
150.0,3,52
151.0,3,52
152.0,3,52
153.0,3,52
154.0,3,52
155.0,3,52
156.0,3,52
157.0,2,53
158.0,2,53
159.0,2,53
160.0,2,53
161.0,1,54
162.0,1,54
163.0,1,54
164.0,1,54
165.0,1,54
166.0,1,54
167.0,1,54
168.0,1,54
169.0,1,54
170.0,1,54
171.0,1,54
172.0,1,54
173.0,1,54
174.0,1,54
175.0,1,54
176.0,1,54
177.0,1,54
178.0,1,54
179.0,1,54
180.0,1,54
181.0,1,54
182.0,1,54
183.0,1,54
184.0,1,54
185.0,1,54
186.0,1,54
187.0,1,54
188.0,1,54
189.0,1,54
190.0,1,54
